dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
public_v1,O1,p00033,bundle_exact_pointer_passes,False,ret,4,4,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,select,17,17,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,sext,22,22,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,shl,20,20,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,sitofp,1,1,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,store,116,116,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,sub,7,6,-1
public_v1,O1,p00033,bundle_exact_pointer_passes,False,switch,2,2,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,xor,3,3,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,zext,4,4,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,add,49,46,-3
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,alloca,13,13,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,and,3,3,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,br,78,77,-1
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,call,18,18,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,extractvalue,2,0,-2
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,fcmp,1,1,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,fptosi,1,1,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,getelementptr,66,66,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,icmp,19,20,1
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,insertvalue,2,0,-2
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,inttoptr,1,1,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,load,82,81,-1
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,lshr,2,2,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,mul,10,10,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,phi,5,6,1
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,ptrtoint,8,3,-5
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,ret,4,4,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,select,17,17,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,sext,22,20,-2
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,shl,20,20,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,sitofp,1,1,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,store,116,116,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,sub,6,6,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,switch,2,2,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,trunc,0,1,1
