dataset,level,sample_id,transition,before_stage,after_stage,pure_default_optimizer_boundary,functions_before,functions_after,functions_delta,functions_delta_ratio,blocks_before,blocks_after,blocks_delta,blocks_delta_ratio,instructions_before,instructions_after,instructions_delta,instructions_delta_ratio,conditional_branches_before,conditional_branches_after,conditional_branches_delta,conditional_branches_delta_ratio,calls_before,calls_after,calls_delta,calls_delta_ratio,direct_calls_before,direct_calls_after,direct_calls_delta,direct_calls_delta_ratio,indirect_calls_before,indirect_calls_after,indirect_calls_delta,indirect_calls_delta_ratio,intrinsics_before,intrinsics_after,intrinsics_delta,intrinsics_delta_ratio,allocas_before,allocas_after,allocas_delta,allocas_delta_ratio,loads_before,loads_after,loads_delta,loads_delta_ratio,stores_before,stores_after,stores_delta,stores_delta_ratio,geps_before,geps_after,geps_delta,geps_delta_ratio,phis_before,phis_after,phis_delta,phis_delta_ratio,selects_before,selects_after,selects_delta,selects_delta_ratio,switches_before,switches_after,switches_delta,switches_delta_ratio,unreachable_before,unreachable_after,unreachable_delta,unreachable_delta_ratio,memory_ops_before,memory_ops_after,memory_ops_delta,memory_ops_delta_ratio,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,scalar_cleanup_ops_delta_ratio,vector_instructions_before,vector_instructions_after,vector_instructions_delta,vector_instructions_delta_ratio
public_v1,O1,p00165,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,3,3,0,0.0,28,27,-1,-0.03571428571428571,296,268,-28,-0.0945945945945946,13,14,1,0.07692307692307693,18,18,0,0.0,18,18,0,0.0,0,0,0,,10,10,0,0.0,5,5,0,0.0,40,37,-3,-0.075,59,59,0,0.0,69,45,-24,-0.34782608695652173,11,10,-1,-0.09090909090909091,2,2,0,0.0,0,0,0,,0,0,0,,173,146,-27,-0.15606936416184972,44,44,0,0.0,0,0,0,
public_v1,O1,p00165,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,3,3,0,0.0,27,27,0,0.0,268,268,0,0.0,14,14,0,0.0,18,18,0,0.0,18,18,0,0.0,0,0,0,,10,10,0,0.0,5,5,0,0.0,37,37,0,0.0,59,59,0,0.0,45,45,0,0.0,10,10,0,0.0,2,2,0,0.0,0,0,0,,0,0,0,,146,146,0,0.0,44,44,0,0.0,0,0,0,
public_v1,O1,p00165,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,3,3,0,0.0,27,27,0,0.0,268,268,0,0.0,14,14,0,0.0,18,18,0,0.0,18,18,0,0.0,0,0,0,,10,10,0,0.0,5,5,0,0.0,37,37,0,0.0,59,59,0,0.0,45,45,0,0.0,10,10,0,0.0,2,2,0,0.0,0,0,0,,0,0,0,,146,146,0,0.0,44,44,0,0.0,0,0,0,
public_v1,O1,p00165,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,3,3,0,0.0,27,27,0,0.0,268,265,-3,-0.011194029850746268,14,14,0,0.0,18,18,0,0.0,18,18,0,0.0,0,0,0,,10,10,0,0.0,5,5,0,0.0,37,25,-12,-0.32432432432432434,59,58,-1,-0.01694915254237288,45,45,0,0.0,10,20,10,1.0,2,2,0,0.0,0,0,0,,0,0,0,,146,133,-13,-0.08904109589041095,44,54,10,0.22727272727272727,0,0,0,
public_v1,O1,p00327,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,24,4,-20,-0.8333333333333334,186,30,-156,-0.8387096774193549,3741,569,-3172,-0.8479016305800589,79,19,-60,-0.759493670886076,35,21,-14,-0.4,30,21,-9,-0.3,5,0,-5,-1.0,8,4,-4,-0.5,0,3,3,,186,50,-136,-0.7311827956989247,420,148,-272,-0.6476190476190476,18,57,39,2.1666666666666665,3,11,8,2.6666666666666665,42,25,-17,-0.40476190476190477,0,0,0,,3,0,-3,-1.0,624,258,-366,-0.5865384615384616,1600,135,-1465,-0.915625,0,0,0,
public_v1,O1,p00327,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,4,4,0,0.0,30,30,0,0.0,569,567,-2,-0.0035149384885764497,19,19,0,0.0,21,21,0,0.0,21,21,0,0.0,0,0,0,,4,4,0,0.0,3,3,0,0.0,50,50,0,0.0,148,148,0,0.0,57,57,0,0.0,11,9,-2,-0.18181818181818182,25,25,0,0.0,0,0,0,,0,0,0,,258,258,0,0.0,135,133,-2,-0.014814814814814815,0,0,0,
public_v1,O1,p00327,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,4,4,0,0.0,30,32,2,0.06666666666666667,567,566,-1,-0.001763668430335097,19,19,0,0.0,21,21,0,0.0,21,21,0,0.0,0,0,0,,4,4,0,0.0,3,3,0,0.0,50,50,0,0.0,148,153,5,0.033783783783783786,57,56,-1,-0.017543859649122806,9,8,-1,-0.1111111111111111,25,25,0,0.0,0,0,0,,0,0,0,,258,262,4,0.015503875968992248,133,128,-5,-0.03759398496240601,0,0,0,
public_v1,O1,p00327,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,4,4,0,0.0,32,32,0,0.0,566,566,0,0.0,19,19,0,0.0,21,21,0,0.0,21,21,0,0.0,0,0,0,,4,4,0,0.0,3,3,0,0.0,50,50,0,0.0,153,153,0,0.0,56,56,0,0.0,8,8,0,0.0,25,25,0,0.0,0,0,0,,0,0,0,,262,262,0,0.0,128,128,0,0.0,0,0,0,
public_v1,O1,p00327,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,4,4,0,0.0,32,32,0,0.0,566,566,0,0.0,19,19,0,0.0,21,21,0,0.0,21,21,0,0.0,0,0,0,,4,4,0,0.0,3,3,0,0.0,50,50,0,0.0,153,153,0,0.0,56,56,0,0.0,8,8,0,0.0,25,25,0,0.0,0,0,0,,0,0,0,,262,262,0,0.0,128,128,0,0.0,0,0,0,
public_v1,O1,p00327,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,4,4,0,0.0,32,33,1,0.03125,566,477,-89,-0.15724381625441697,19,19,0,0.0,21,21,0,0.0,21,21,0,0.0,0,0,0,,4,4,0,0.0,3,3,0,0.0,50,44,-6,-0.12,153,71,-82,-0.5359477124183006,56,56,0,0.0,8,18,10,1.25,25,17,-8,-0.32,0,0,0,,0,0,0,,262,174,-88,-0.33587786259541985,128,130,2,0.015625,0,0,0,
