dataset,level,sample_id,stage,functions,blocks,instructions,conditional_branches,calls,direct_calls,indirect_calls,intrinsics,allocas,loads,stores,geps,phis,selects,switches,unreachable,memory_ops,scalar_cleanup_ops,vector_instructions,structural_sha256
own_v1,O1,h00015,raw_lift,26,115,1242,43,40,35,5,10,0,73,204,5,2,9,0,5,282,368,0,6c5219e1ba1a51c6339076fdee187be6950265dbf234bd719d6f4fa7ea705f0a
own_v1,O1,h00015,brightened_main,2,28,247,3,10,10,0,5,4,25,37,51,3,10,1,2,117,43,0,154e279d327a04bd68e6a62b91edf61bca4d1550efecd96dbcc23bdc469a7516
own_v1,O1,h00015,bundle_verified_input,2,28,247,3,10,10,0,5,4,25,37,51,3,10,1,2,117,43,0,6674e84255fb535e691f7768fcec26930ddd43b151176301b81913d785d4428f
own_v1,O1,h00015,bundle_pointer_opt,2,28,247,3,10,10,0,5,4,25,37,53,3,10,1,2,119,43,0,21871f1586d19b963c9d94c0ff399e233ce5598a2a06f0fe1af710b6de135fc1
own_v1,O1,h00015,bundle_standard_opt_3,2,28,218,3,11,11,0,6,4,24,35,28,3,10,1,2,91,42,0,59ae10c55a3dc9651b4510f058b85568c333faf98cd7884a87cf404528afbeeb
own_v1,O1,h00015,bundle_storage_delift,2,28,218,3,11,11,0,6,4,24,35,28,3,10,1,2,91,42,0,59ae10c55a3dc9651b4510f058b85568c333faf98cd7884a87cf404528afbeeb
own_v1,O1,h00015,bundle_residual_strip,2,28,218,3,11,11,0,6,4,24,35,28,3,10,1,2,91,42,0,59ae10c55a3dc9651b4510f058b85568c333faf98cd7884a87cf404528afbeeb
own_v1,O1,h00015,final_clean,1,27,217,3,11,11,0,6,4,23,35,28,4,10,1,2,90,43,0,a77e6cb61bd8eed488620abb65ce80b6b41db3e680667d4bb8b34f8d0e0367d0
own_v1,O1,h00016,raw_lift,26,119,1276,44,36,31,5,8,0,77,195,5,2,10,0,3,277,401,0,fd03a0e0c547583484c8b87962d5013dc037a45d748bb58479f6ecc2e41f3a40
own_v1,O1,h00016,brightened_main,2,32,265,1,8,8,0,5,4,28,64,57,2,10,1,0,153,34,0,1470ee44caeb26a5b75f356ed63266d0bb62341814ce47bd4ccbfc4a51cb8c21
own_v1,O1,h00016,bundle_verified_input,2,32,265,1,8,8,0,5,4,28,64,57,2,10,1,0,153,34,0,b2fe425d2d5d65689607e5539d0249d0d5fe536fa9d0f3e4afe29529c78cb676
own_v1,O1,h00016,bundle_pointer_opt,2,32,265,1,8,8,0,5,4,28,64,57,2,10,1,0,153,34,0,50700c4cd8524bb6e975ae846c1f378e113bd2a602481cd331d926657380dd32
own_v1,O1,h00016,bundle_standard_opt_3,2,32,240,1,8,8,0,5,4,28,64,32,2,10,1,0,128,34,0,f857eea2ba9706c75a91e43a4c57e247a0657b2a7922c136fb35c3b28a6a8ded
own_v1,O1,h00016,bundle_storage_delift,2,32,240,1,8,8,0,5,4,28,64,32,2,10,1,0,128,34,0,f857eea2ba9706c75a91e43a4c57e247a0657b2a7922c136fb35c3b28a6a8ded
own_v1,O1,h00016,bundle_residual_strip,2,32,240,1,8,8,0,5,4,28,64,32,2,10,1,0,128,34,0,f857eea2ba9706c75a91e43a4c57e247a0657b2a7922c136fb35c3b28a6a8ded
own_v1,O1,h00016,final_clean,1,31,239,1,8,8,0,5,4,28,64,32,2,10,1,0,128,34,0,cd75b2aee21b865febd4cd4cc9fb66c7aea560525fbb232ac72410b315c8b940
own_v1,O1,h00017,raw_lift,27,113,1543,42,54,49,5,19,0,84,297,4,4,12,0,6,385,474,0,aff4094c144daf299d162b010866a8946db876b96ba8c8c71f57a44976d9ac9d
own_v1,O1,h00017,brightened_main,9,42,1041,4,36,34,2,15,5,108,436,46,33,14,1,0,595,187,0,64c9eb8d83c9ba64fee5baeeb42450c40fb6aee53dcb28177c4b1d8f7a424495
own_v1,O1,h00017,bundle_verified_input,9,42,1041,4,36,34,2,15,5,108,436,46,33,14,1,0,595,187,0,a5312d69305d4671c5634286b5db3787c3ab5295d5fd13908f521a57291fd93a
