dataset,level,boundary,opcode,metric_n,total_before,total_after,total_delta,cases_changed
public_v1,O2,bundle_default_opt_4,trunc,36,730,728,-2,3
public_v1,O2,bundle_default_opt_4,zext,38,2335,2243,-92,5
public_v1,O2,bundle_post_opt_4_custom_cleanup,add,40,2722,2659,-63,9
public_v1,O2,bundle_post_opt_4_custom_cleanup,alloca,37,148,153,5,1
public_v1,O2,bundle_post_opt_4_custom_cleanup,and,36,1799,1787,-12,3
public_v1,O2,bundle_post_opt_4_custom_cleanup,br,39,3079,3078,-1,1
public_v1,O2,bundle_post_opt_4_custom_cleanup,call,40,2337,2333,-4,5
public_v1,O2,bundle_post_opt_4_custom_cleanup,getelementptr,38,3923,3821,-102,10
public_v1,O2,bundle_post_opt_4_custom_cleanup,icmp,39,1966,1907,-59,6
public_v1,O2,bundle_post_opt_4_custom_cleanup,load,40,6071,6001,-70,7
public_v1,O2,bundle_post_opt_4_custom_cleanup,phi,39,1536,1558,22,6
public_v1,O2,bundle_post_opt_4_custom_cleanup,ptrtoint,32,209,211,2,3
public_v1,O2,bundle_post_opt_4_custom_cleanup,ret,40,200,198,-2,8
public_v1,O2,bundle_post_opt_4_custom_cleanup,select,38,904,840,-64,6
public_v1,O2,bundle_post_opt_4_custom_cleanup,sext,35,909,908,-1,1
public_v1,O2,bundle_post_opt_4_custom_cleanup,shl,33,741,742,1,1
public_v1,O2,bundle_post_opt_4_custom_cleanup,store,38,8156,8043,-113,4
public_v1,O2,bundle_post_opt_4_custom_cleanup,sub,30,309,308,-1,1
public_v1,O2,bundle_post_opt_4_custom_cleanup,switch,27,90,90,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,trunc,36,728,728,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,zext,38,2243,2234,-9,3
public_v1,O2,main_default_opt_2,or,38,2773,1794,-979,33
public_v1,O2,bundle_default_opt_3,mul,35,886,764,-122,10
public_v1,O2,bundle_default_opt_3,or,32,1779,1293,-486,12
public_v1,O2,bundle_default_opt_3,xor,35,1423,1216,-207,14
public_v1,O2,bundle_default_opt_4,mul,35,764,752,-12,3
public_v1,O2,bundle_default_opt_4,or,31,1293,1200,-93,4
public_v1,O2,bundle_default_opt_4,xor,35,1216,1185,-31,5
public_v1,O2,bundle_post_opt_4_custom_cleanup,mul,35,752,751,-1,1
public_v1,O2,bundle_post_opt_4_custom_cleanup,or,31,1200,1196,-4,1
public_v1,O2,bundle_post_opt_4_custom_cleanup,xor,35,1185,1185,0,0
public_v1,O2,main_default_opt_1,bitcast,5,56,50,-6,2
public_v1,O2,main_default_opt_1,fcmp,3,29,26,-3,2
public_v1,O2,main_default_opt_1,fptosi,1,1,1,0,0
public_v1,O2,main_default_opt_1,sitofp,4,10,9,-1,1
public_v1,O2,main_default_opt_2,extractvalue,24,922,868,-54,7
public_v1,O2,main_default_opt_2,fcmp,3,26,26,0,0
public_v1,O2,main_default_opt_2,fptosi,1,1,1,0,0
public_v1,O2,main_default_opt_2,insertvalue,24,401,309,-92,16
public_v1,O2,main_default_opt_2,lshr,20,192,181,-11,3
public_v1,O2,main_default_opt_2,sitofp,4,9,9,0,0
public_v1,O2,bundle_default_opt_3,extractvalue,24,700,577,-123,13
public_v1,O2,bundle_default_opt_3,fcmp,3,26,26,0,0
public_v1,O2,bundle_default_opt_3,fptosi,1,1,1,0,0
public_v1,O2,bundle_default_opt_3,insertvalue,24,309,222,-87,20
public_v1,O2,bundle_default_opt_3,inttoptr,32,233,227,-6,3
public_v1,O2,bundle_default_opt_3,lshr,18,173,178,5,3
public_v1,O2,bundle_default_opt_3,sitofp,4,9,9,0,0
public_v1,O2,bundle_default_opt_4,fcmp,3,26,26,0,0
public_v1,O2,bundle_default_opt_4,fptosi,1,1,1,0,0
public_v1,O2,bundle_default_opt_4,inttoptr,32,227,229,2,1
public_v1,O2,bundle_default_opt_4,lshr,18,178,180,2,1
public_v1,O2,bundle_default_opt_4,sitofp,4,9,9,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,fcmp,3,26,26,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,fptosi,1,1,1,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,inttoptr,32,229,213,-16,6
public_v1,O2,bundle_post_opt_4_custom_cleanup,lshr,18,180,180,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,sitofp,4,9,9,0,0
public_v1,O2,main_default_opt_1,fadd,2,24,21,-3,1
public_v1,O2,main_default_opt_1,fdiv,4,11,11,0,0
public_v1,O2,main_default_opt_1,fmul,2,14,14,0,0
public_v1,O2,main_default_opt_1,fsub,2,32,33,1,1
public_v1,O2,main_default_opt_1,unreachable,12,86,77,-9,5
public_v1,O2,main_default_opt_2,bitcast,2,45,45,0,0
public_v1,O2,main_default_opt_2,fadd,2,21,21,0,0
public_v1,O2,main_default_opt_2,fdiv,4,11,11,0,0
public_v1,O2,main_default_opt_2,fmul,2,14,14,0,0
public_v1,O2,main_default_opt_2,fsub,2,33,33,0,0
public_v1,O2,main_default_opt_2,unreachable,11,77,74,-3,2
public_v1,O2,bundle_default_opt_3,bitcast,2,45,47,2,1
public_v1,O2,bundle_default_opt_3,fadd,2,21,21,0,0
public_v1,O2,bundle_default_opt_3,fdiv,4,11,11,0,0
public_v1,O2,bundle_default_opt_3,fmul,2,14,14,0,0
public_v1,O2,bundle_default_opt_3,fsub,2,33,33,0,0
public_v1,O2,bundle_default_opt_3,unreachable,11,74,76,2,1
public_v1,O2,bundle_default_opt_4,bitcast,2,47,47,0,0
public_v1,O2,bundle_default_opt_4,extractvalue,17,577,571,-6,3
public_v1,O2,bundle_default_opt_4,fadd,2,21,21,0,0
public_v1,O2,bundle_default_opt_4,fdiv,4,11,11,0,0
public_v1,O2,bundle_default_opt_4,fmul,2,14,14,0,0
public_v1,O2,bundle_default_opt_4,fsub,2,33,33,0,0
public_v1,O2,bundle_default_opt_4,insertvalue,17,222,216,-6,3
public_v1,O2,bundle_default_opt_4,unreachable,11,76,76,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,bitcast,2,47,47,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,extractvalue,17,571,566,-5,2
public_v1,O2,bundle_post_opt_4_custom_cleanup,fadd,2,21,21,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,fdiv,4,11,11,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,fmul,2,14,14,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,fsub,2,33,33,0,0
public_v1,O2,bundle_post_opt_4_custom_cleanup,insertvalue,17,216,214,-2,2
public_v1,O2,bundle_post_opt_4_custom_cleanup,unreachable,11,76,76,0,0
public_v1,O2,main_default_opt_1,ashr,18,107,95,-12,9
public_v1,O2,main_default_opt_2,ashr,19,95,94,-1,5
public_v1,O2,bundle_default_opt_3,ashr,18,90,87,-3,2
public_v1,O2,bundle_default_opt_4,ashr,17,87,90,3,1
public_v1,O2,bundle_post_opt_4_custom_cleanup,ashr,18,90,91,1,1
public_v1,O2,main_default_opt_1,sdiv,13,52,48,-4,4
