dataset,level,sample_id,boundary,before_path,after_path,production_replay_valid,functions_before,functions_after,functions_delta,blocks_before,blocks_after,blocks_delta,instructions_before,instructions_after,instructions_delta,conditional_branches_before,conditional_branches_after,conditional_branches_delta,calls_before,calls_after,calls_delta,direct_calls_before,direct_calls_after,direct_calls_delta,indirect_calls_before,indirect_calls_after,indirect_calls_delta,intrinsics_before,intrinsics_after,intrinsics_delta,allocas_before,allocas_after,allocas_delta,loads_before,loads_after,loads_delta,stores_before,stores_after,stores_delta,geps_before,geps_after,geps_delta,phis_before,phis_after,phis_delta,selects_before,selects_after,selects_delta,switches_before,switches_after,switches_delta,unreachable_before,unreachable_after,unreachable_delta,memory_ops_before,memory_ops_after,memory_ops_delta,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,vector_instructions_before,vector_instructions_after,vector_instructions_delta
public_v1,O1,p00693,bundle_default_opt_4,/home/dungbv/clau/result/ir_public_o1_20260816/p00693/p00693_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00693/bundle_default_opt_4.after.ll,True,5,5,0,39,39,0,653,651,-2,20,20,0,32,32,0,32,32,0,0,0,0,10,10,0,5,5,0,52,52,0,198,198,0,105,103,-2,4,4,0,50,50,0,0,0,0,0,0,0,360,358,-2,146,146,0,0,0,0
public_v1,O1,p00693,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00693/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/ir_public_o1_20260816/p00693/p00693_final.ll,True,5,5,0,39,40,1,651,562,-89,20,20,0,32,30,-2,32,30,-2,0,0,0,10,10,0,5,5,0,52,47,-5,198,110,-88,103,107,4,4,13,9,50,42,-8,0,0,0,0,0,0,358,269,-89,146,147,1,0,0,0
public_v1,O1,p00788,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00788/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00788/main_opt_1.after.ll,True,5,3,-2,57,49,-8,1353,834,-519,20,14,-6,27,15,-12,27,15,-12,0,0,0,10,2,-8,5,1,-4,121,99,-22,179,143,-36,202,86,-116,23,21,-2,52,37,-15,2,1,-1,11,9,-2,507,329,-178,293,212,-81,0,0,0
public_v1,O1,p00788,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00788/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00788/main_opt_2.after.ll,True,3,3,0,49,45,-4,605,524,-81,14,14,0,17,13,-4,17,13,-4,0,0,0,4,0,-4,3,3,0,68,62,-6,115,96,-19,89,73,-16,4,6,2,37,37,0,1,1,0,9,9,0,275,234,-41,134,132,-2,0,0,0
public_v1,O1,p00788,bundle_default_opt_3,/home/dungbv/clau/result/ir_public_o1_20260816/p00788/p00788_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00788/bundle_default_opt_3.after.ll,True,3,2,-1,45,46,1,423,428,5,14,15,1,13,11,-2,13,11,-2,0,0,0,0,0,0,3,3,0,51,51,0,96,120,24,54,60,6,6,5,-1,13,14,1,1,1,0,9,9,0,204,234,30,88,75,-13,0,0,0
public_v1,O1,p00788,bundle_default_opt_4,/home/dungbv/clau/result/ir_public_o1_20260816/p00788/p00788_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00788/bundle_default_opt_4.after.ll,True,2,2,0,46,46,0,428,405,-23,15,15,0,11,11,0,11,11,0,0,0,0,0,0,0,3,3,0,51,43,-8,120,120,0,60,46,-14,5,7,2,14,14,0,1,1,0,9,9,0,234,212,-22,75,75,0,0,0,0
public_v1,O1,p00788,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00788/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/ir_public_o1_20260816/p00788/p00788_final.ll,True,2,2,0,46,45,-1,405,204,-201,15,15,0,11,11,0,11,11,0,0,0,0,0,0,0,3,8,5,43,4,-39,120,9,-111,46,0,-46,7,29,22,14,6,-8,1,1,0,9,9,0,212,21,-191,75,77,2,0,0,0
public_v1,O1,p00793,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00793/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00793/main_opt_1.after.ll,True,9,8,-1,99,101,2,5450,5571,121,44,42,-2,48,60,12,48,60,12,0,0,0,27,40,13,5,5,0,624,619,-5,2487,2458,-29,300,259,-41,412,422,10,96,96,0,9,9,0,4,4,0,3416,3341,-75,1143,1226,83,0,0,0
public_v1,O1,p00793,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00793/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00793/main_opt_2.after.ll,True,8,8,0,101,101,0,5585,5492,-93,42,42,0,60,58,-2,60,58,-2,0,0,0,40,38,-2,6,6,0,620,620,0,2459,2458,-1,268,262,-6,422,423,1,98,98,0,9,9,0,4,4,0,3353,3346,-7,1227,1180,-47,0,0,0
public_v1,O1,p00793,bundle_default_opt_3,/home/dungbv/clau/result/ir_public_o1_20260816/p00793/p00793_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00793/bundle_default_opt_3.after.ll,True,9,9,0,103,103,0,5116,5061,-55,42,42,0,101,101,0,101,101,0,0,0,0,38,38,0,6,6,0,620,601,-19,2458,2422,-36,136,136,0,423,423,0,14,14,0,9,9,0,4,4,0,3220,3165,-55,970,970,0,0,0,0
public_v1,O1,p00793,bundle_default_opt_4,/home/dungbv/clau/result/ir_public_o1_20260816/p00793/p00793_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00793/bundle_default_opt_4.after.ll,True,9,9,0,103,103,0,5061,5061,0,42,42,0,101,101,0,101,101,0,0,0,0,38,38,0,6,6,0,601,601,0,2422,2422,0,136,136,0,423,423,0,14,14,0,9,9,0,4,4,0,3165,3165,0,970,970,0,0,0,0
public_v1,O1,p00793,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00793/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/ir_public_o1_20260816/p00793/p00793_final.ll,True,9,9,0,103,103,0,5061,5023,-38,42,42,0,101,101,0,101,101,0,0,0,0,38,38,0,6,6,0,601,598,-3,2422,2386,-36,136,136,0,423,430,7,14,14,0,9,9,0,4,4,0,3165,3126,-39,970,971,1,0,0,0
public_v1,O1,p00859,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00859/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00859/main_opt_1.after.ll,True,10,5,-5,103,91,-12,2192,1490,-702,10,6,-4,38,24,-14,38,24,-14,0,0,0,13,4,-9,4,2,-2,192,155,-37,253,228,-25,246,159,-87,37,31,-6,61,61,0,3,2,-1,0,0,0,695,544,-151,495,366,-129,0,0,0
