experiment_id,sample_id,flow_id,repeat_id,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,counterexamples_used,peak_memory,cpu_time
experiment_20260821_162746,p02100,F2,0,5,982918,7098,990016,,369.6426610946655,,0.41132116317749023,364.56393480300903,734.7415859699249,,,,3,0,2,14,,
experiment_20260821_162746,p02100,F3,0,1,40860,441,41301,,38.5208580493927,,0.062273263931274414,4.146661996841431,42.74949073791504,,,,1,0,0,0,,
experiment_20260821_162746,p02289,B1,0,1,60049,22817,82866,,52.88633131980896,,0.0,0.0,52.974554777145386,,,,0,0,0,0,,
experiment_20260821_162746,p02289,B2,0,1,85713,836,86549,,46.57855176925659,,0.29927778244018555,10.722944974899292,57.6717324256897,,,,1,0,0,0,,
experiment_20260821_162746,p02289,F1,0,3,331328,3345,334673,,155.15934681892395,,0.9649794101715088,24.179028034210205,180.5388298034668,,,,3,0,2,8,,
experiment_20260821_162746,p02289,F2,0,3,1179250,4271,1183521,,263.0090425014496,,0.25551581382751465,9.73177981376648,273.07440304756165,,,,2,0,1,6,,
experiment_20260821_162746,p02289,F3,0,1,106225,1083,107308,,45.5107057094574,,0.21729183197021484,8.72442364692688,54.5159592628479,,,,1,0,0,0,,
experiment_20260821_162746,p02474,B1,0,1,18285,8088,26373,,17.584964752197266,,0.0,0.0,17.596718072891235,,,,0,0,0,0,,
experiment_20260821_162746,p02474,B2,0,1,27530,534,28064,,23.857465505599976,,0.2316575050354004,378.8045473098755,402.945419549942,,,,1,0,0,0,,
experiment_20260821_162746,p02474,F1,0,4,268820,5303,274123,,216.57434844970703,,0.43071532249450684,524.0998165607452,741.1801474094391,,,,2,0,1,7,,
experiment_20260821_162746,p02474,F2,0,4,907839,6243,914082,,296.93609714508057,,0.3348848819732666,520.8528952598572,818.2043426036835,,,,2,0,1,7,,
experiment_20260821_162746,p02474,F3,0,1,42144,631,42775,,35.57693409919739,,0.2771730422973633,369.17197585105896,405.07584261894226,,,,1,0,0,0,,
experiment_20260821_162746,p02477,B1,0,1,121939,2558,124497,,112.8775086402893,,0.0,0.0,113.46568870544434,,,,0,0,0,0,,
experiment_20260821_162746,p02477,B2,0,1,200771,1062,201833,,104.49326777458191,,0.16894054412841797,12.300109386444092,116.99379634857178,,,,1,0,0,0,,
experiment_20260821_162746,p02477,F1,0,1,144900,1074,145974,,62.0702338218689,,0.09150505065917969,6.396401405334473,68.58808541297913,,,,1,0,0,0,,
experiment_20260821_162746,p02477,F2,0,5,3784749,11328,3796077,,544.5682957172394,,0.08916163444519043,5.271015167236328,549.9647214412689,,,,1,0,0,0,,
experiment_20260821_162746,p02477,F3,0,1,150061,1108,151169,,83.42334938049316,,0.19909310340881348,7.797079563140869,91.47245144844055,,,,1,0,0,0,,
experiment_20260821_162746,p02788,B1,0,1,61182,16724,77906,,66.88559627532959,,0.0,0.0,66.89974761009216,,,,0,0,0,0,,
experiment_20260821_162746,p02788,B2,0,1,75865,1274,77139,,58.64944076538086,,0.03867912292480469,0.0,58.71162819862366,,,,1,0,0,0,,
experiment_20260821_162746,p02788,F1,0,1,95351,1486,96837,,60.31821537017822,,0.07660770416259766,1.7428739070892334,62.15734124183655,,,,1,0,0,0,,
experiment_20260821_162746,p02788,F2,0,3,987245,3987,991232,,240.4830765724182,,0.27434611320495605,9.139646053314209,249.96010279655457,,,,2,0,1,3,,
experiment_20260821_162746,p02788,F3,0,1,94118,1250,95368,,78.00370979309082,,0.07440829277038574,2.254901885986328,80.3525595664978,,,,1,0,0,0,,
experiment_20260821_162746,p02814,B1,0,1,33176,11271,44447,,34.33663630485535,,0.0,0.0,34.37043023109436,,,,0,0,0,0,,
experiment_20260821_162746,p02814,B2,0,1,27530,473,28003,,8.147890567779541,,0.07607316970825195,1.5823848247528076,9.835595607757568,,,,1,0,0,0,,
experiment_20260821_162746,p02814,F1,0,2,185878,1147,187025,,72.31174206733704,,0.173170804977417,4.6957848072052,77.23522210121155,,,,2,0,1,1,,
experiment_20260821_162746,p02814,F2,0,5,1329194,7078,1336272,,367.913211107254,,0.4409198760986328,11.463507652282715,379.91892170906067,,,,3,0,2,3,,
experiment_20260821_162746,p02814,F3,0,1,88963,629,89592,,37.18363070487976,,0.1112828254699707,2.2902028560638428,39.63143181800842,,,,1,0,0,0,,
experiment_20260821_162746,p02950,B1,0,1,20840,13586,34426,,20.812941789627075,,0.0,0.0,20.84896206855774,,,,0,0,0,0,,
experiment_20260821_162746,p02950,B2,0,1,57823,732,58555,,35.0637412071228,,0.08559179306030273,5.080708980560303,40.25362515449524,,,,1,0,0,0,,
experiment_20260821_162746,p02950,F1,0,1,116692,960,117652,,63.45984649658203,,0.1081998348236084,2.323188543319702,65.914391040802,,,,1,0,0,0,,
