dataset,level,boundary,opcode,metric_n,total_before,total_after,total_delta,cases_changed
own_v1,O1,bundle_default_opt_3,add,40,1533,1515,-18,5
own_v1,O1,bundle_default_opt_3,alloca,40,110,110,0,0
own_v1,O1,bundle_default_opt_3,and,40,782,759,-23,4
own_v1,O1,bundle_default_opt_3,br,40,1433,1433,0,0
own_v1,O1,bundle_default_opt_3,call,40,593,588,-5,7
own_v1,O1,bundle_default_opt_3,getelementptr,40,2271,1871,-400,16
own_v1,O1,bundle_default_opt_3,icmp,40,1040,1038,-2,1
own_v1,O1,bundle_default_opt_3,inttoptr,40,582,580,-2,2
own_v1,O1,bundle_default_opt_3,load,40,3467,2768,-699,27
own_v1,O1,bundle_default_opt_3,lshr,33,350,350,0,0
own_v1,O1,bundle_default_opt_3,mul,34,136,136,0,0
own_v1,O1,bundle_default_opt_3,or,16,74,56,-18,2
own_v1,O1,bundle_default_opt_3,phi,37,937,918,-19,10
own_v1,O1,bundle_default_opt_3,ptrtoint,40,138,126,-12,9
own_v1,O1,bundle_default_opt_3,ret,40,252,251,-1,1
own_v1,O1,bundle_default_opt_3,select,40,628,626,-2,1
own_v1,O1,bundle_default_opt_3,shl,40,355,354,-1,1
own_v1,O1,bundle_default_opt_3,store,40,15625,14352,-1273,27
own_v1,O1,bundle_default_opt_3,switch,40,73,73,0,0
own_v1,O1,bundle_default_opt_3,trunc,28,450,449,-1,1
own_v1,O1,bundle_default_opt_3,xor,40,813,813,0,0
own_v1,O1,bundle_default_opt_3,zext,35,783,776,-7,3
own_v1,O1,bundle_default_opt_4,add,40,1515,1515,0,0
own_v1,O1,bundle_default_opt_4,alloca,40,110,110,0,0
own_v1,O1,bundle_default_opt_4,and,40,759,759,0,0
own_v1,O1,bundle_default_opt_4,br,40,1433,1433,0,0
own_v1,O1,bundle_default_opt_4,call,40,588,588,0,0
own_v1,O1,bundle_default_opt_4,getelementptr,40,1871,1864,-7,1
own_v1,O1,bundle_default_opt_4,icmp,40,1038,1038,0,0
own_v1,O1,bundle_default_opt_4,inttoptr,40,580,580,0,0
own_v1,O1,bundle_default_opt_4,load,40,2768,2756,-12,2
own_v1,O1,bundle_default_opt_4,lshr,33,350,350,0,0
own_v1,O1,bundle_default_opt_4,mul,34,136,136,0,0
own_v1,O1,bundle_default_opt_4,or,16,56,52,-4,3
own_v1,O1,bundle_default_opt_4,phi,37,918,918,0,0
own_v1,O1,bundle_default_opt_4,ptrtoint,40,126,126,0,0
own_v1,O1,bundle_default_opt_4,ret,40,251,251,0,0
own_v1,O1,bundle_default_opt_4,select,40,626,626,0,0
own_v1,O1,bundle_default_opt_4,shl,40,354,354,0,0
own_v1,O1,bundle_default_opt_4,store,40,14352,14340,-12,2
own_v1,O1,bundle_default_opt_4,switch,40,73,73,0,0
own_v1,O1,bundle_default_opt_4,trunc,28,449,449,0,0
own_v1,O1,bundle_default_opt_4,xor,40,813,813,0,0
own_v1,O1,bundle_default_opt_4,zext,35,776,776,0,0
own_v1,O1,bundle_post_opt_4_custom_cleanup,add,40,1515,1440,-75,5
own_v1,O1,bundle_post_opt_4_custom_cleanup,alloca,40,110,109,-1,1
own_v1,O1,bundle_post_opt_4_custom_cleanup,and,40,759,692,-67,10
own_v1,O1,bundle_post_opt_4_custom_cleanup,br,40,1433,1389,-44,2
own_v1,O1,bundle_post_opt_4_custom_cleanup,call,40,588,559,-29,8
own_v1,O1,bundle_post_opt_4_custom_cleanup,getelementptr,40,1864,1825,-39,4
own_v1,O1,bundle_post_opt_4_custom_cleanup,icmp,40,1038,996,-42,3
own_v1,O1,bundle_post_opt_4_custom_cleanup,inttoptr,40,580,549,-31,2
own_v1,O1,bundle_post_opt_4_custom_cleanup,load,40,2756,2608,-148,10
own_v1,O1,bundle_post_opt_4_custom_cleanup,lshr,33,350,318,-32,7
own_v1,O1,bundle_post_opt_4_custom_cleanup,mul,34,136,132,-4,2
own_v1,O1,bundle_post_opt_4_custom_cleanup,or,16,52,37,-15,2
own_v1,O1,bundle_post_opt_4_custom_cleanup,phi,37,918,831,-87,8
own_v1,O1,bundle_post_opt_4_custom_cleanup,ptrtoint,40,126,114,-12,7
own_v1,O1,bundle_post_opt_4_custom_cleanup,ret,40,251,223,-28,18
own_v1,O1,bundle_post_opt_4_custom_cleanup,select,40,626,615,-11,1
own_v1,O1,bundle_post_opt_4_custom_cleanup,shl,40,354,340,-14,1
own_v1,O1,bundle_post_opt_4_custom_cleanup,store,40,14340,10901,-3439,27
own_v1,O1,bundle_post_opt_4_custom_cleanup,switch,40,73,69,-4,1
own_v1,O1,bundle_post_opt_4_custom_cleanup,trunc,28,449,398,-51,7
own_v1,O1,bundle_post_opt_4_custom_cleanup,xor,40,813,756,-57,8
own_v1,O1,bundle_post_opt_4_custom_cleanup,zext,35,776,697,-79,13
own_v1,O1,main_default_opt_1,sdiv,5,9,9,0,0
own_v1,O1,main_default_opt_1,unreachable,4,5,5,0,0
own_v1,O1,main_default_opt_2,sdiv,5,9,9,0,0
own_v1,O1,main_default_opt_2,unreachable,4,5,5,0,0
own_v1,O1,bundle_default_opt_3,sdiv,5,9,9,0,0
own_v1,O1,bundle_default_opt_3,sext,25,141,140,-1,1
own_v1,O1,bundle_default_opt_3,unreachable,4,5,5,0,0
own_v1,O1,bundle_default_opt_4,sdiv,5,9,9,0,0
own_v1,O1,bundle_default_opt_4,sext,25,140,140,0,0
own_v1,O1,bundle_default_opt_4,unreachable,4,5,5,0,0
