dataset,level,sample_id,boundary,before_path,after_path,production_replay_valid,functions_before,functions_after,functions_delta,blocks_before,blocks_after,blocks_delta,instructions_before,instructions_after,instructions_delta,conditional_branches_before,conditional_branches_after,conditional_branches_delta,calls_before,calls_after,calls_delta,direct_calls_before,direct_calls_after,direct_calls_delta,indirect_calls_before,indirect_calls_after,indirect_calls_delta,intrinsics_before,intrinsics_after,intrinsics_delta,allocas_before,allocas_after,allocas_delta,loads_before,loads_after,loads_delta,stores_before,stores_after,stores_delta,geps_before,geps_after,geps_delta,phis_before,phis_after,phis_delta,selects_before,selects_after,selects_delta,switches_before,switches_after,switches_delta,unreachable_before,unreachable_after,unreachable_delta,memory_ops_before,memory_ops_after,memory_ops_delta,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,vector_instructions_before,vector_instructions_after,vector_instructions_delta
own_v1,O3,h00022,bundle_default_opt_4,/home/dungbv/clau/result/f3_o3_final_20260815/h00022/h00022_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00022/bundle_default_opt_4.after.ll,True,3,3,0,10,10,0,208,207,-1,1,1,0,5,5,0,5,5,0,0,0,0,1,1,0,2,2,0,25,25,0,99,98,-1,9,9,0,7,7,0,1,1,0,1,1,0,0,0,0,135,134,-1,26,26,0,0,0,0
own_v1,O3,h00022,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00022/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o3_final_20260815/h00022/h00022_final.ll,True,3,2,-1,10,9,-1,207,205,-2,1,1,0,5,5,0,5,5,0,0,0,0,1,1,0,2,2,0,25,25,0,98,97,-1,9,9,0,7,7,0,1,1,0,1,1,0,0,0,0,134,133,-1,26,26,0,0,0,0
own_v1,O3,h00023,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00023/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00023/main_opt_1.after.ll,True,11,2,-9,55,39,-16,1285,1148,-137,5,4,-1,30,18,-12,28,18,-10,2,0,-2,19,14,-5,7,5,-2,112,95,-17,660,599,-61,52,35,-17,27,31,4,10,10,0,1,1,0,1,1,0,831,734,-97,189,183,-6,0,0,0
own_v1,O3,h00023,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00023/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00023/main_opt_2.after.ll,True,2,2,0,39,34,-5,431,299,-132,4,2,-2,10,9,-1,10,9,-1,0,0,0,6,5,-1,4,4,0,36,37,1,73,43,-30,25,21,-4,4,4,0,14,12,-2,1,1,0,1,1,0,138,105,-33,121,72,-49,0,0,0
own_v1,O3,h00023,bundle_default_opt_3,/home/dungbv/clau/result/f3_o3_final_20260815/h00023/h00023_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00023/bundle_default_opt_3.after.ll,True,2,2,0,34,34,0,286,277,-9,2,2,0,9,9,0,9,9,0,0,0,0,5,5,0,4,4,0,37,37,0,43,43,0,49,40,-9,4,4,0,12,12,0,1,1,0,1,1,0,133,124,-9,51,51,0,0,0,0
own_v1,O3,h00023,bundle_default_opt_4,/home/dungbv/clau/result/f3_o3_final_20260815/h00023/h00023_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00023/bundle_default_opt_4.after.ll,True,2,2,0,34,34,0,277,277,0,2,2,0,9,9,0,9,9,0,0,0,0,5,5,0,4,4,0,37,37,0,43,43,0,40,40,0,4,4,0,12,12,0,1,1,0,1,1,0,124,124,0,51,51,0,0,0,0
own_v1,O3,h00023,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00023/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o3_final_20260815/h00023/h00023_final.ll,True,2,1,-1,34,33,-1,277,276,-1,2,2,0,9,9,0,9,9,0,0,0,0,5,5,0,4,4,0,37,37,0,43,43,0,40,40,0,4,4,0,12,12,0,1,1,0,1,1,0,124,124,0,51,51,0,0,0,0
own_v1,O3,h00024,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00024/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00024/main_opt_1.after.ll,True,11,8,-3,33,28,-5,869,780,-89,2,2,0,24,13,-11,22,11,-11,2,2,0,13,5,-8,5,1,-4,93,91,-2,436,393,-43,68,36,-32,19,30,11,10,10,0,1,1,0,0,0,0,602,521,-81,119,125,6,0,0,0
own_v1,O3,h00024,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00024/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00024/main_opt_2.after.ll,True,8,8,0,28,28,0,785,760,-25,2,2,0,13,13,0,11,11,0,2,2,0,5,5,0,1,1,0,91,91,0,393,379,-14,38,35,-3,32,32,0,10,10,0,1,1,0,0,0,0,523,506,-17,127,123,-4,0,0,0
own_v1,O3,h00024,bundle_default_opt_3,/home/dungbv/clau/result/f3_o3_final_20260815/h00024/h00024_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00024/bundle_default_opt_3.after.ll,True,9,9,0,30,30,0,654,571,-83,2,2,0,14,14,0,12,12,0,2,2,0,4,4,0,1,1,0,91,71,-20,304,242,-62,29,29,0,26,26,0,6,6,0,1,1,0,0,0,0,425,343,-82,102,101,-1,0,0,0
own_v1,O3,h00024,bundle_default_opt_4,/home/dungbv/clau/result/f3_o3_final_20260815/h00024/h00024_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00024/bundle_default_opt_4.after.ll,True,9,9,0,30,30,0,571,571,0,2,2,0,14,14,0,12,12,0,2,2,0,4,4,0,1,1,0,71,71,0,242,242,0,29,29,0,26,26,0,6,6,0,1,1,0,0,0,0,343,343,0,101,101,0,0,0,0
own_v1,O3,h00024,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00024/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o3_final_20260815/h00024/h00024_final.ll,True,9,9,0,30,30,0,571,571,0,2,2,0,14,14,0,12,12,0,2,2,0,4,4,0,1,1,0,71,71,0,242,242,0,29,29,0,26,26,0,6,6,0,1,1,0,0,0,0,343,343,0,101,101,0,0,0,0
own_v1,O3,h00025,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00025/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00025/main_opt_1.after.ll,True,11,8,-3,47,42,-5,1194,1141,-53,5,5,0,28,21,-7,26,19,-7,2,2,0,17,13,-4,7,5,-2,111,109,-2,695,667,-28,94,76,-18,30,43,13,10,10,0,2,2,0,0,0,0,907,857,-50,123,129,6,0,0,0
own_v1,O3,h00025,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00025/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00025/main_opt_2.after.ll,True,8,8,0,42,42,0,1065,1066,1,5,5,0,15,13,-2,13,11,-2,2,2,0,7,5,-2,2,2,0,109,111,2,631,633,2,48,47,-1,43,43,0,10,10,0,2,2,0,0,0,0,790,793,3,127,127,0,0,0,0
own_v1,O3,h00025,bundle_default_opt_3,/home/dungbv/clau/result/f3_o3_final_20260815/h00025/h00025_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00025/bundle_default_opt_3.after.ll,True,8,8,0,42,42,0,949,756,-193,5,5,0,12,12,0,10,10,0,2,2,0,4,4,0,2,2,0,111,78,-33,528,371,-157,47,47,0,37,35,-2,10,10,0,2,2,0,0,0,0,688,498,-190,117,114,-3,0,0,0
own_v1,O3,h00025,bundle_default_opt_4,/home/dungbv/clau/result/f3_o3_final_20260815/h00025/h00025_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00025/bundle_default_opt_4.after.ll,True,8,8,0,42,42,0,756,734,-22,5,5,0,12,12,0,10,10,0,2,2,0,4,4,0,2,2,0,78,78,0,371,349,-22,47,47,0,35,35,0,10,10,0,2,2,0,0,0,0,498,476,-22,114,114,0,0,0,0
own_v1,O3,h00025,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00025/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o3_final_20260815/h00025/h00025_final.ll,True,8,8,0,42,42,0,734,729,-5,5,5,0,12,12,0,10,10,0,2,2,0,4,4,0,2,2,0,78,78,0,349,344,-5,47,47,0,35,35,0,10,10,0,2,2,0,0,0,0,476,471,-5,114,114,0,0,0,0
